PubMed ID,Title,Publication Date,Non-Academic Author,Company Affiliation,Corresponding Author Email
40052387,Mediators of Racial Inequities in Non-Small Cell Lung Cancer Care.,2025 Mar,N/A,N/A,N/A
40052287,Prostate dose escalation may positively impact survival in patients with clinically node-positive prostate cancer definitively treated by radiotherapy: surveillance study of the Japanese Radiation Oncology Study Group (JROSG).,2025 Mar 7,N/A,N/A,N/A
40052270,Laparoscopic Versus Robotic Lateral Pelvic Lymph Node Dissection in Locally-Advanced Rectal Cancer: A Cohort Study Comparing Perioperative Morbidity and Short-Term Oncological Outcomes.,2025 Mar,N/A,N/A,N/A
40052211,Mitigating Doxorubicin-Induced Cardiotoxicity and Enhancing Anti-Tumor Efficacy with a Metformin-Integrated Self-Assembled Nanomedicine.,2025 Mar 7,N/A,N/A,N/A
40052194,Organelle-Targeted Photo-triggered Delivery of Acetylperoxyl Radicals for Redox Homeostasis Modulation.,2025 Mar 7,N/A,N/A,N/A
40052152,Notch signaling in cancers: mechanism and potential therapy.,2025,N/A,N/A,N/A
40052133,Targeted treatment and survival in advanced non-squamous non-small cell lung cancer patients - a nationwide and longitudinal study.,2025,N/A,N/A,N/A
40052127,Influence of CAR T-cell therapy associated complications.,2025,N/A,N/A,N/A
40052125,"A novel compound, SYHA1813, inhibits malignant meningioma growth directly by boosting p53 pathway activation and impairing DNA repair.",2025,N/A,N/A,N/A
40052124,Real-world treatment and retreatment patterns and outcomes in patients with advanced or metastatic non-small cell lung cancer following nivolumab monotherapy in second line or later in France: an I-O Optimise analysis.,2025,N/A,N/A,N/A
40052122,"Ensartinib for EML4-ALK-positive lung adenocarcinoma with comorbid mutations in TP53, EGFR, and ERBB2: a case report.",2025,N/A,N/A,N/A
40052067,Prospects and challenges of ovarian cancer organoids in chemotherapy research (Review).,2025 Apr,N/A,N/A,N/A
40052001,Group-Based Trajectory Modeling to Identify Patterns and Predictors of Adherence to Oral Endocrine Therapies in Underserved Population of Greater Houston Area.,2025,N/A,N/A,N/A
40051987,Saudi urologists' treatment pattern for high-risk Bacillus Calmette-Guérin naïve and Bacillus Calmette-Guérin unresponsive nonmuscle invasive bladder cancer.,2025 Jan-Mar,N/A,N/A,N/A
40051929,Salvage Surgery for Epidermal Growth Factor Receptor-Mutant Lung Cancer With Osimertinib Resistance: A Case Report.,2025 Feb,N/A,N/A,N/A
40051922,A Retrospective Analysis of Pembrolizumab With or Without Chemotherapy in Advanced Non-small Cell Lung Cancer: Experience From a Tertiary Care Hospital.,2025 Feb,N/A,N/A,N/A
40051791,pH-Activated Nanoplatform Derived from M1 Macrophages' Exosomes for Photodynamic and Ferroptosis Synergistic Therapy to Augment Cancer Immunotherapy.,2025,N/A,N/A,N/A
40051744,Caught in the Crossfire: A Case of Splenic Infarction Amid G-CSF therapy in Chronic Myelomonocytic Leukaemia.,2025,N/A,N/A,N/A
40051662,Size matters: Early progression of melanoma brain metastases after treatment with immune checkpoint inhibitors.,2025 Jan-Dec,N/A,N/A,N/A
40051659,Distant brain failure after stereotactic radiosurgery for brain metastases in patients receiving novel systemic treatments.,2025 Jan-Dec,N/A,N/A,N/A
